image_id,person,car,dog,cat,bicycle
2011_002384,0,1,0,0,0
2012_001330,1,0,0,0,0
2012_002611,1,0,0,0,0
2009_002273,1,0,1,0,0
2008_005174,1,0,1,0,0
2009_000464,1,0,0,0,0
2008_001312,1,0,0,0,0
2012_001318,1,0,0,0,0
2011_004905,1,0,0,0,0
2008_008450,1,0,0,0,0
2008_008336,1,0,0,0,0
2007_000904,1,0,0,0,0
2012_000760,1,0,0,0,0
2009_004164,0,0,0,0,0
2008_005612,1,1,0,0,0
2009_002515,0,0,0,0,0
2008_003263,1,0,0,0,0
2012_002177,1,0,0,0,0
2009_004170,0,0,0,0,0
2008_002169,1,0,0,0,0
2010_000879,0,0,1,0,0
2008_003277,1,0,0,0,0
2012_002163,1,0,0,0,0
2008_004518,1,0,0,0,0
2010_005901,0,0,0,0,0
2008_007011,0,0,0,0,0
2008_008322,0,1,0,0,0
2009_001008,0,0,0,1,0
2008_001460,0,0,0,0,0
2009_000316,0,0,0,0,0
2008_001306,1,0,0,0,0
2008_007777,0,0,0,1,0
2011_004911,1,0,0,0,0
2008_008444,1,0,0,0,0
2008_003511,1,0,1,0,0
2009_002267,0,1,0,1,0
2012_004274,1,0,0,0,0
2008_005160,0,0,1,0,0
2009_004616,0,0,0,0,0
2010_001756,1,0,1,0,0
2009_004399,0,0,0,0,0
2012_003094,1,0,0,0,0
2010_000448,1,0,0,0,0
2009_005087,1,0,0,0,1
2011_005158,1,0,0,0,0
2012_001683,1,0,0,0,0
2011_004520,1,0,0,0,0
2010_002539,1,0,0,0,0
2010_004148,0,0,0,0,0
2009_001587,0,0,0,0,0
2011_001458,1,0,0,0,0
2010_006987,1,0,0,0,0
2008_004097,0,0,0,0,0
2010_001030,1,0,0,1,0
2008_003920,1,0,0,0,0
2008_005389,1,0,0,0,0
2011_007029,1,0,0,0,0
2010_006993,1,0,0,0,0
2010_001024,1,0,0,0,0
2012_004089,1,0,0,0,0
2009_003384,0,0,0,0,0
2010_005242,0,0,1,0,0
2011_004534,1,0,0,0,0
2008_006694,0,1,0,0,0
2009_001593,0,0,0,0,0
2008_000583,1,1,0,0,0
2008_001845,1,0,0,0,0
2011_002623,1,0,0,0,0
2011_004252,1,0,0,0,0
2011_000034,0,1,0,0,0
2011_005164,1,0,0,0,0
2010_002263,1,0,0,0,0
2011_003515,1,0,0,0,0
2010_000474,1,0,0,0,0
2011_001302,0,0,0,0,0
2012_003916,1,0,0,0,0
2010_000312,0,0,1,0,0
2011_001464,0,0,1,0,0
2011_007015,1,0,0,0,0
2011_003273,1,0,0,0,0
2008_008691,1,0,0,0,1
2008_006864,1,0,0,0,0
2011_002179,1,0,0,0,0
2008_008685,0,0,0,0,0
2009_000869,0,0,1,0,0
2010_004160,1,1,0,0,0
2008_006870,1,0,1,0,0
2011_001470,1,0,0,0,0
2008_003908,1,0,0,0,0
2011_007001,1,0,0,0,0
2010_006777,1,0,0,0,0
2007_004009,0,0,0,0,0
2010_006011,0,0,0,1,0
2007_003000,0,0,0,0,0
2009_002918,1,0,0,0,0
2011_005170,1,0,0,0,0
2010_003169,0,0,0,0,0
2010_005518,1,1,0,0,0
2011_004285,1,0,0,0,0
2012_001898,1,0,0,0,0
2009_005044,0,0,0,0,0
2008_004732,0,0,0,1,0
2011_006492,1,0,0,0,0
2008_002343,0,0,0,0,0
2010_001795,0,0,1,0,0
2011_000785,1,1,0,0,0
2012_003731,1,0,0,0,0
2009_003353,1,0,0,0,1
2008_002425,1,0,0,0,0
2010_006944,1,0,0,0,0
2008_004054,1,0,0,0,0
2012_001126,1,0,0,0,0
2009_000882,0,1,0,0,1
2011_002192,1,0,0,0,1
2009_001544,0,0,0,0,0
2011_005825,1,0,0,0,0
2012_001132,1,0,0,0,0
2011_002186,1,0,0,1,0
2009_000896,1,0,0,0,1
2008_000226,1,1,0,0,0
2009_001550,0,0,0,1,0
2010_003828,0,0,0,0,1
2008_006657,1,0,0,1,0
2011_003298,1,0,0,0,0
2011_000791,0,0,0,0,1
2012_003725,1,0,0,0,0
2009_003347,1,0,0,0,0
2010_006788,1,0,0,0,0
2011_000949,1,0,0,0,0
2008_004040,1,0,0,0,1
2007_004948,0,0,0,0,0
2008_004726,0,0,0,0,0
2008_003049,0,0,0,0,0
2011_006486,1,0,0,0,0
2008_002357,1,0,0,0,0
2010_004821,0,0,0,0,0
2011_002838,1,0,0,0,0
2009_000128,1,0,0,0,0
2008_000540,1,0,0,0,0
2009_001236,0,0,0,0,0
2012_001654,1,0,0,0,0
2009_005078,1,0,0,0,0
2008_003061,1,1,0,0,0
2009_002717,1,0,0,0,0
2009_003409,1,0,0,0,0
2009_004366,0,0,0,0,0
2012_000562,1,0,0,0,0
2008_006119,0,0,1,0,0
2010_004809,1,0,0,0,1
2008_001676,0,0,1,0,0
2009_000100,0,0,0,0,0
2011_002810,0,0,0,0,0
2008_000568,1,0,0,0,0
2008_008134,0,0,0,0,0
2008_007207,1,0,0,0,0
2008_008652,1,0,0,0,1
2008_007561,0,0,0,0,0
2010_003800,1,0,0,1,0
2012_000204,1,0,0,0,0
2008_005376,0,0,0,1,0
2008_002419,1,0,0,0,0
2008_003707,1,0,0,0,0
2011_000961,0,0,1,0,0
2012_003719,1,0,0,0,0
2009_004414,0,0,0,0,0
2008_005362,0,0,0,0,0
2012_004076,1,0,0,0,0
2011_000975,0,0,0,0,0
2008_003713,0,0,0,0,1
2012_002407,1,0,0,0,0
2009_000672,0,0,0,0,0
2008_001104,1,1,0,0,0
2012_000576,1,0,0,0,0
2008_008120,0,1,0,0,0
2012_002361,1,0,0,0,0
2009_002703,1,0,0,0,0
2008_003075,1,0,0,0,1
2008_005404,0,1,0,0,0
2009_002844,0,0,0,0,0
2011_004332,1,0,0,0,0
2010_004982,0,0,0,0,0
2008_006092,0,1,0,0,0
2010_003035,1,0,0,0,0
2009_001395,1,0,0,0,0
2012_001091,1,0,0,0,0
2009_000935,0,0,1,0,0
2007_000333,0,0,0,0,0
2011_004454,1,0,0,0,0
2008_003854,1,1,0,0,0
2012_003686,1,0,0,0,0
2008_003840,1,0,0,0,0
2011_001538,1,0,0,0,1
2011_006257,1,0,0,0,0
2010_004028,1,0,0,0,0
2008_000391,0,0,0,0,0
2011_002031,0,0,0,1,0
2010_003747,0,0,0,1,0
2010_002459,0,0,0,0,0
2011_004440,1,0,0,0,0
2010_005450,0,0,0,0,0
2011_003449,1,0,0,0,0
2008_007398,0,0,0,0,0
2009_002688,0,0,0,0,0
2011_006531,1,0,0,0,0
2009_002850,1,0,0,0,0
2010_001636,1,0,0,0,0
2007_004627,0,0,0,0,0
2008_004849,1,0,0,0,0
2012_001913,1,0,0,0,0
2008_001919,1,0,0,0,0
2008_008083,1,0,0,0,0
2011_005010,1,0,0,0,0
2010_004766,0,0,0,0,0
2011_001276,1,0,1,0,0
2010_000500,1,0,0,1,0
2011_007161,1,0,0,0,0
2010_006617,1,0,0,0,0
2008_003868,1,1,0,0,0
2011_001510,1,0,0,0,1
2010_000266,1,0,1,0,0
2008_006910,0,0,0,1,0
2011_002019,1,0,0,0,0
2009_000909,0,0,0,0,0
2011_004468,1,0,0,0,0
2008_006904,0,0,0,0,0
2010_004014,0,1,0,0,0
2011_005762,1,0,0,0,0
2007_008747,0,1,0,0,0
2010_006603,1,0,0,0,0
2010_000272,0,0,0,0,0
2008_004875,1,0,0,0,0
2010_002303,1,0,0,1,0
2011_003475,1,0,0,0,0
2008_008097,1,1,0,0,1
2007_001763,0,0,1,1,0
2010_004772,0,0,0,0,0
2011_002780,1,0,0,0,0
2011_002958,1,0,0,0,1
2010_004941,0,0,0,0,0
2009_002887,0,0,0,0,0
2011_000197,0,0,0,0,0
2008_005558,1,0,0,0,0
2009_003541,0,0,0,1,0
2007_002281,1,1,0,0,0
2008_004646,1,0,0,0,0
2009_005130,0,0,0,0,0
2010_000299,0,0,0,0,0
2008_004120,0,0,0,1,0
2009_002139,1,0,0,0,0
2011_000829,1,0,0,0,0
2011_006280,1,0,0,0,0
2008_002551,0,0,0,0,0
2009_004548,1,0,0,0,0
2008_006737,0,0,0,0,0
2011_005951,1,0,0,0,0
2011_005789,1,0,0,0,0
2008_000346,1,1,0,0,0
2012_001052,1,0,0,0,0
2012_000358,1,0,0,0,0
2011_004483,1,0,0,0,0
2009_001424,0,0,1,0,0
2012_001046,1,0,0,0,0
2010_003784,0,0,1,0,0
2008_004134,1,0,0,0,0
2012_003889,1,0,0,0,0
2011_006294,1,0,0,0,0
2009_003233,0,0,0,0,0
2010_001193,0,0,0,1,0
2008_003883,1,0,0,0,0
2012_003651,1,0,0,0,0
2009_002893,1,0,1,0,0
2012_003137,1,0,0,0,0
2009_003555,0,0,0,0,0
2008_002223,0,1,0,0,0
2012_002229,1,0,0,0,0
2012_001720,1,0,0,0,0
2010_005493,1,0,0,0,0
2008_006045,0,0,0,0,0
2009_004212,1,0,0,0,0
2008_005564,0,0,1,0,0
2009_002663,0,0,0,0,0
2008_008040,1,0,0,0,0
2011_002964,1,0,0,0,0
2009_000074,1,0,0,0,0
2008_001702,1,0,0,0,0
2012_000416,1,0,0,0,0
2009_000712,0,0,0,0,0
2010_003974,0,0,0,1,0
2008_008726,1,1,0,0,0
2007_008948,0,0,0,0,0
2008_007415,0,0,0,0,0
2009_002105,0,1,0,0,0
2011_000815,0,0,0,0,0
2008_003673,0,1,0,0,0
2012_004116,1,0,0,0,0
2008_003667,1,0,0,0,0
2009_002111,0,0,0,0,0
2012_004102,1,0,0,0,0
2008_002579,1,0,0,0,0
2008_005216,0,1,0,0,0
2009_004560,0,0,1,0,0
2012_000364,1,0,0,0,0
2008_001070,0,0,1,0,0
2008_008732,0,0,0,0,0
2008_000408,1,0,0,0,0
2008_001716,0,1,0,0,0
2009_000060,1,1,0,0,0
2011_002970,0,0,0,0,0
2012_000402,1,0,0,0,0
2008_005570,1,0,0,0,0
2009_003569,0,0,0,0,0
2008_003101,0,0,1,0,0
2009_005118,0,0,0,0,0
2008_002948,0,0,0,0,1
2012_003484,1,0,0,0,0
2009_004789,0,0,0,0,0
2011_000430,0,0,1,0,0
2012_002942,1,0,0,0,0
2008_001299,1,0,0,0,0
2011_004656,1,0,0,0,0
2010_005120,0,0,0,0,0
2011_002227,1,0,0,0,0
2010_003551,0,0,0,1,0
2008_000187,0,1,0,0,0
2011_003887,1,0,0,0,0
2009_001197,0,1,0,0,0
2010_004558,0,1,0,0,0
2010_002129,0,0,1,0,0
2008_000839,0,0,0,1,0
2008_006290,0,0,0,0,0
2009_000289,0,0,0,0,0
2010_005646,1,0,0,0,0
2008_004487,0,0,0,0,0
2009_003958,0,0,0,0,0
2011_006727,1,0,0,0,0
2010_001434,0,0,0,0,0
2011_000342,1,0,0,0,0
2008_004493,1,0,0,0,0
2011_006733,1,0,0,0,0
2007_006232,0,0,0,0,0
2012_000827,1,0,0,0,0
2010_003223,0,0,0,1,0
2011_002555,1,0,0,0,0
2010_005652,0,0,0,1,0
2010_005134,0,0,1,0,0
2007_007892,1,0,0,0,0
2012_001287,1,0,0,0,0
2008_000193,1,1,0,0,0
2009_004945,0,0,0,0,0
2012_002956,1,0,0,0,0
2008_002784,0,0,0,0,0
2007_009897,0,0,0,0,0
2011_005574,1,0,0,0,0
2011_001712,0,0,0,0,0
2010_000702,0,0,0,1,0
2011_005212,1,0,0,0,0
2008_008281,0,1,0,0,0
2008_000805,0,0,0,0,0
2010_004570,0,0,0,0,0
2011_003677,1,0,0,0,0
2008_000811,1,0,0,0,0
2010_001408,1,0,0,0,0
2011_001060,1,0,0,0,0
2010_000716,0,0,1,0,0
2009_004979,0,0,0,0,0
2008_002960,1,0,0,0,0
2011_000418,0,0,0,0,0
2010_005108,0,0,0,1,0
2009_001801,1,0,0,0,0
2011_003111,0,0,0,0,0
2010_002667,0,0,0,0,0
2010_003579,0,0,0,1,0
2010_004216,1,0,1,0,0
2010_003592,0,0,0,0,0
2010_002854,0,0,0,0,0
2008_000144,1,0,0,0,0
2012_003447,1,0,0,0,0
2010_001385,1,0,0,1,0
2012_004328,1,0,0,0,0
2008_002753,1,0,0,0,0
2008_005982,0,0,0,0,1
2009_003743,0,1,0,0,0
2008_002035,1,0,0,0,0
2012_003321,1,0,0,0,0
2011_000395,1,0,0,0,0
2012_000628,1,0,0,0,0
2008_006253,1,0,0,0,1
2011_003844,1,0,0,0,0
2009_001154,1,0,0,0,0
2008_000622,1,0,0,0,0
2011_002582,0,0,0,0,0
2011_003688,1,0,0,0,0
2008_000636,1,0,0,0,0
2009_001140,1,0,0,0,0
2011_003850,1,0,0,0,0
2010_005849,0,0,0,0,0
2008_004450,0,0,0,0,0
2009_002449,0,0,0,0,0
2010_006398,1,0,0,0,0
2010_000931,1,0,0,0,0
2008_002021,1,0,0,0,0
2009_003757,0,0,0,0,0
2011_006928,1,0,0,0,0
2009_004038,0,0,0,1,0
2012_003453,1,0,0,0,0
2012_002995,1,0,0,0,0
2007_004380,1,0,0,0,0
2011_001921,1,0,0,0,0
2009_003031,0,1,0,0,0
2009_004986,0,1,0,0,0
2012_001244,1,0,0,0,0
2010_002840,0,0,0,0,0
2008_005000,1,0,0,0,0
2009_003019,1,0,0,0,0
2011_001909,1,0,0,0,0
2012_002765,1,0,0,0,0
2008_007617,1,0,0,0,0
2011_004871,1,0,0,0,0
2008_008524,1,0,0,0,0
2010_002868,0,0,0,0,0
2012_000172,1,0,0,0,0
2008_006509,0,0,0,0,0
2008_001500,0,1,0,0,0
2009_000276,0,0,0,0,0
2011_003878,1,0,0,0,0
2008_007171,1,1,0,0,0
2008_008242,0,0,0,0,0
2008_004478,1,0,0,0,0
2008_002009,1,0,0,0,0
2011_006900,1,0,0,0,0
2012_002017,1,0,0,0,0
2009_002475,0,0,0,0,0
2008_003303,0,0,0,1,0
2011_006914,1,0,0,0,0
2009_004004,1,0,0,0,0
2012_003309,1,0,0,0,0
2012_000600,1,0,0,0,0
2008_001514,0,0,0,0,0
2008_007165,0,0,0,1,0
2010_005875,1,1,0,0,0
2008_008530,1,0,0,0,1
2009_000504,0,0,0,1,0
2008_001272,1,0,0,0,0
2012_000166,1,0,0,0,0
2012_004300,1,0,0,0,0
2012_002771,1,0,0,0,0
2008_008257,0,0,0,0,0
2010_005874,0,0,1,0,0
2008_007164,0,0,0,1,0
2009_004005,0,0,0,0,0
2009_002474,1,0,0,0,0
2008_003302,0,0,0,0,0
2012_002016,1,0,0,0,0
2009_002312,1,1,0,0,0
2008_003464,1,0,0,0,0
2007_002914,1,0,0,0,0
2009_004763,0,0,1,0,0
2008_005015,0,0,1,0,0
2007_009841,1,0,0,0,0
2009_000505,1,0,0,0,0
2008_008531,0,0,0,0,0
2011_004864,1,0,0,0,0
2012_001279,1,0,0,0,0
2008_001267,0,0,0,1,0
2009_000511,1,0,0,1,0
2007_007878,1,0,0,1,0
2008_008525,0,0,0,0,0
2011_004870,1,0,0,0,0
2012_002764,1,0,0,0,0
2009_002306,0,0,0,0,0
2009_003018,0,0,0,0,0
2012_004315,1,0,0,0,0
2008_005001,1,0,0,0,0
2008_005767,0,0,0,0,0
2010_000918,0,0,0,0,0
2008_003316,1,0,0,0,0
2009_002460,0,0,1,0,0
2012_002002,1,0,0,0,0
2008_004479,1,0,0,0,0
2010_005860,0,1,0,0,1
2011_003879,1,0,0,0,0
2008_001501,1,0,0,0,0
2009_000277,1,0,0,0,0
2011_000380,1,0,0,0,0
2009_003756,0,0,1,0,0
2009_002448,0,0,0,0,0
2008_005997,0,0,0,0,0
2012_001523,1,0,0,0,0
2010_005848,0,0,0,0,1
2008_001529,1,0,0,0,0
2011_003689,1,0,0,0,0
2008_006520,0,0,0,1,0
2009_000539,1,0,1,0,0
2007_007688,0,0,0,0,0
2010_002841,0,1,0,0,0
2008_000151,0,0,0,0,0
2009_001627,0,0,0,0,0
2011_004858,1,0,0,0,0
2012_001245,1,0,0,0,0
2008_003458,0,0,0,0,0
2009_004987,1,0,0,0,0
2008_002746,1,1,0,0,0
2011_001920,1,0,0,0,0
2010_001390,0,0,1,0,0
2012_002758,1,0,0,0,0
2009_004993,0,0,0,0,0
2012_004329,1,0,0,0,0
2008_002752,1,0,0,0,0
2008_006534,0,0,0,0,0
2011_004694,1,0,0,0,0
2009_001633,0,0,0,0,0
2008_000145,0,0,0,0,0
2010_002855,1,0,0,1,0
2008_008519,1,0,0,0,0
2011_002583,0,0,0,0,0
2009_001155,1,0,0,0,0
2008_000623,1,0,0,0,0
2010_005684,1,0,0,0,0
2008_004445,0,0,0,0,0
2008_005968,0,0,0,0,0
2009_003971,0,0,0,0,1
2011_001061,1,0,0,0,0
2010_000717,1,0,0,0,0
2007_008222,0,0,1,0,0
2010_002100,1,0,0,0,0
2011_002568,0,0,0,0,0
2008_008294,0,0,0,0,0
2011_005561,1,0,0,0,0
2009_001800,0,0,0,0,0
2010_002666,0,0,0,0,0
2010_005109,0,0,1,0,0
2008_007819,0,0,1,0,0
2010_006400,1,0,0,0,0
2011_000419,0,0,0,1,0
2011_001707,1,0,0,0,0
2008_002961,0,0,0,0,0
2010_000071,0,0,0,0,0
2011_006068,1,0,0,0,0
2010_006414,1,0,0,0,0
2010_000065,0,0,0,0,1
2011_001713,0,0,0,0,0
2007_005074,0,1,0,0,0
2008_000804,0,0,0,0,0
2011_003662,1,0,0,0,0
2011_005213,1,0,0,0,0
2009_003965,1,0,0,0,0
2010_006372,1,0,0,0,0
2008_006285,0,0,0,1,0
2010_003222,0,0,1,0,0
2011_002554,1,0,0,0,0
2012_000826,1,0,0,0,0
2011_003892,1,0,0,0,0
2008_005954,0,0,0,0,0
2008_004492,1,0,0,0,0
2007_002055,1,0,1,0,0
2010_001435,0,0,0,1,0
2011_000343,0,0,0,0,0
2009_003795,1,0,0,0,0
2012_002957,1,0,0,0,0
2012_003491,1,0,0,0,0
2009_004944,0,0,0,0,0
2011_006054,1,0,0,0,0
2008_000192,0,0,0,0,0
2012_001286,1,0,0,0,0
2012_000198,1,0,0,0,0
2008_007825,0,1,0,0,0
2010_002896,0,0,0,0,0
2011_002226,1,0,0,0,0
2009_001828,0,0,1,0,0
2011_003138,1,0,0,0,0
2011_004657,1,0,0,0,0
2008_007831,0,0,0,0,0
2008_002791,1,0,0,0,0
2012_002943,1,0,0,0,0
2010_001347,0,0,0,1,0
2011_006726,1,0,0,0,0
2010_001421,0,0,1,0,0
2008_005798,0,0,1,0,0
2009_003781,0,1,0,0,0
2010_005647,0,0,0,1,0
2009_000288,1,1,0,0,0
2010_002128,1,0,0,0,0
2010_003236,0,0,0,0,0
2010_004559,1,0,0,0,0
2009_001196,0,0,0,0,0
2011_003886,1,0,0,0,0
2009_001419,0,0,0,1,0
2010_003961,1,0,1,0,0
2008_001071,0,0,0,1,0
2011_005978,1,0,0,0,0
2012_000365,1,0,0,0,0
2008_005217,0,0,0,0,0
2009_004561,0,0,0,0,1
2012_004103,1,0,0,0,0
2008_002578,1,0,0,0,0
2009_002110,1,0,0,0,0
2011_000800,1,0,0,0,0
2012_002572,1,0,0,0,0
2010_006819,1,0,0,0,0
2009_005119,0,0,0,1,0
2012_002214,1,0,0,0,0
2008_003100,1,0,0,0,0
2010_001810,1,0,0,0,0
2009_002676,0,1,0,0,0
2009_004207,0,0,0,0,0
2010_004968,0,0,0,1,0
2008_006078,1,0,0,0,0
2008_001717,0,1,0,0,0
2011_002971,1,0,0,0,0
2008_008055,0,0,0,0,0
2011_002965,0,0,0,0,0
2012_001709,1,0,0,0,0
2012_002200,1,0,0,0,0
2009_002662,0,0,0,0,0
2008_003114,0,0,0,1,0
2009_004213,1,0,0,0,0
2012_003678,1,0,0,0,0
2012_004117,1,0,0,0,0
2009_002104,0,0,0,1,0
2008_003672,1,0,0,0,0
2012_000371,1,0,0,0,0
2012_003650,1,0,0,0,0
2008_003882,1,0,0,0,0
2010_001192,1,0,0,0,0
2009_003232,0,0,0,0,0
2011_006295,1,0,0,0,0
2012_003888,1,0,0,0,0
2008_004135,1,0,0,0,0
2010_006825,1,0,0,0,0
2012_001047,1,0,0,0,0
2011_004482,1,0,0,0,0
2008_006722,1,0,1,0,0
2010_004954,0,0,0,1,0
2010_005492,0,0,0,1,0
2009_001343,0,0,0,0,0
2008_000435,1,0,0,0,0
2008_008069,1,1,0,0,1
2011_002795,1,0,0,0,0
2012_002228,1,0,0,0,0
2008_004653,0,0,1,0,0
2009_003554,0,0,0,0,0
2008_002222,1,0,0,0,0
2012_003136,1,0,0,0,0
2011_000182,1,0,0,0,0
2008_004647,1,0,1,0,0
2009_005131,0,0,0,0,0
2011_001288,0,0,1,0,0
2010_001838,0,0,1,0,0
2008_003128,1,0,0,0,0
2008_002236,1,0,0,0,0
2009_003540,1,0,0,0,0
2011_000196,1,0,0,0,0
2008_006050,0,0,0,1,0
2008_000421,1,0,0,0,0
2009_001357,0,0,0,0,0
2012_001735,1,0,0,0,0
2010_003791,0,0,1,0,0
2008_007428,0,0,0,0,0
2009_001431,0,0,0,0,0
2011_005788,1,0,0,0,0
2010_003949,1,0,0,0,0
2011_005950,1,0,0,0,0
2012_003644,1,0,0,0,0
2007_004197,1,0,0,0,0
2011_000828,1,0,0,0,0
2008_004121,0,0,1,0,0
2007_005262,0,1,0,0,0
2012_003877,1,0,0,0,0
2010_000273,0,0,0,0,0
2011_001505,0,0,0,0,0
2010_006602,1,0,0,0,0
2007_009458,0,0,0,0,0
2011_005763,1,0,0,0,0
2010_004773,1,0,0,0,0
2008_008096,1,0,0,0,0
2011_003474,1,0,0,0,0
2012_001906,1,0,0,0,0
2008_004874,1,0,0,0,0
2010_006164,1,0,0,0,0
2010_000515,0,0,1,0,0
2011_001263,0,0,0,0,0
2009_002879,1,0,0,0,0
2011_001277,1,0,0,0,0
2011_005011,1,0,0,0,0
2010_002316,0,0,0,1,0
2012_001912,1,0,0,0,0
2011_003306,1,0,0,0,0
2011_002018,0,0,0,0,0
2011_005777,1,0,0,0,0
2010_001179,0,0,0,0,0
2011_004441,1,0,0,0,0
2010_002458,0,0,1,0,0
2009_000920,0,0,0,0,0
2010_003746,1,1,1,0,0
2010_004029,0,0,0,0,0
2008_006939,0,0,0,0,0
2007_009464,0,0,0,1,0
2011_006256,1,0,0,0,0
2012_003693,1,0,0,0,0
2011_000627,0,0,0,0,0
2008_003841,0,0,0,1,0
2010_001151,1,0,0,0,0
2010_006158,1,0,0,0,0
2009_002851,1,0,0,0,0
2010_001637,0,0,0,1,0
2008_004690,0,0,0,0,0
2009_002689,0,0,0,0,0
2011_005039,1,0,0,0,0
2011_002756,0,0,0,0,0
2008_001930,1,0,0,0,0
2010_004997,0,0,0,0,0
2008_006087,1,1,0,0,0
2011_004327,1,0,0,0,0
2010_003034,1,0,0,0,0
2011_002742,0,0,0,0,1
2010_004983,1,0,0,0,0
2011_004333,1,0,0,0,0
2009_003583,0,0,0,0,0
2009_002845,0,0,1,0,0
2008_004684,0,1,0,0,0
2011_006242,1,0,0,0,0
2010_005323,0,1,0,0,0
2011_004455,1,0,0,0,0
2011_005993,1,0,0,0,0
2007_000332,0,0,0,0,0
2010_003752,1,0,0,1,0
2009_000934,1,0,0,0,0
2012_001090,1,0,0,0,0
2008_001105,0,0,0,0,0
2010_003815,0,0,0,0,0
2008_007574,0,0,0,0,0
2012_002406,1,0,0,0,0
2009_002064,0,0,0,0,0
2008_003712,1,0,0,0,0
2012_004077,1,0,0,0,0
2008_005363,0,0,1,0,0
2008_005405,0,1,0,0,0
2008_008121,1,0,0,0,0
2011_002805,0,0,0,0,0
2008_001663,0,0,0,0,0
2008_000569,1,0,0,0,0
2011_002811,1,0,0,0,1
2010_004808,0,0,0,1,0
2008_003060,1,1,0,0,0
2010_001970,0,0,0,0,1
2009_005079,0,0,0,0,0
2012_002412,1,0,0,0,0
2008_004069,0,1,0,0,0
2010_006979,1,0,0,0,0
2008_003706,1,0,0,0,0
2012_004063,1,0,0,0,0
2008_002418,1,0,0,0,1
2011_005818,1,0,0,0,0
2010_003801,0,0,0,0,0
2008_001111,0,0,0,1,0
2009_002058,1,1,0,0,1
2008_002430,0,0,1,0,0
2009_003346,0,0,0,0,0
2009_004429,1,0,0,0,0
2011_000790,0,0,0,0,0
2011_003299,1,0,0,0,0
2008_006656,0,0,0,1,0
2011_005830,1,0,0,0,0
2008_001139,1,0,0,0,0
2008_000227,0,0,0,1,0
2009_000897,1,0,0,0,0
2007_008815,0,0,0,1,0
2008_007548,0,0,0,1,0
2010_003197,0,0,0,1,0
2012_001655,1,0,0,0,0
2008_000541,1,0,0,0,0
2009_001237,1,1,0,0,0
2011_004290,1,0,0,0,0
2010_002289,0,0,0,0,0
2008_006130,0,0,1,0,0
2008_005439,0,0,0,0,0
2010_001780,0,0,0,0,0
